up_days,down_days,trail_percent,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
3,3,0.01,10000,10119.020561583997,-0.2790934599884101,0.017531233732128126,0.002052962833301698,8.10439734874714,0.01183178372937595,0.002371042785112987,0.011902056158399682,863.293176416,206,0.44660194174757284,1.273837174855153
3,3,0.02,10000,10160.037794337986,-0.31526478909961636,0.020537059738162368,0.003062491132905106,6.801169371118681,0.015877069064527388,0.003182990976277036,0.016003779433798628,817.1832986620002,197,0.4619289340101523,1.2034864843575104
3,3,0.03,10000,9644.22685714599,-0.7556646354134353,-0.04462668165941339,-0.004574768671878338,10.857827858959583,-0.03622560981346244,-0.007224652441810483,-0.03557731428540101,757.3651098540005,188,0.4574468085106383,1.111274804332808
3,3,0.04,10000,9407.721961854002,-0.8082728194721235,-0.07024757565676007,-0.006565639450627396,13.554365975406206,-0.06105425564884618,-0.012146182304280623,-0.05922780381459979,725.0972131460007,179,0.44692737430167595,1.1200701970603142
3,3,0.05,10000,9603.365066572014,-0.6158706059258501,-0.053330319672614784,-0.005257463891248261,12.312311689869881,-0.04047152817284242,-0.0080680122555717,-0.039663493342798575,682.1251654280005,168,0.4642857142857143,1.0817387662199898
3,3,0.06,10000,9579.837439232006,-0.530085702577032,-0.05955787035436646,-0.005992183950537039,12.927901881335956,-0.04292446992017402,-0.008554909515784288,-0.04201625607679944,617.8667387679998,152,0.48026315789473684,1.0117857631754175
3,3,0.07,10000,9261.922098033985,-0.41276614586214516,-0.12862916894025572,-0.011066257740087267,14.307319810243621,-0.0766734958935539,-0.015229716019391461,-0.0738077901966015,537.449964966,133,0.44360902255639095,1.116184527269443
3,3,0.08,10000,8455.182361341997,-0.4683925367944968,-0.24375519295502263,-0.01563988231488972,23.69638416409709,-0.16780554241459636,-0.03302995904362248,-0.15448176386580034,484.25806165800014,121,0.4462809917355372,0.9866575004176393
3,3,0.09,10000,9196.247665708,-0.34010658895179113,-0.13332288831242642,-0.01214634296805994,17.11956771247409,-0.08378955456059567,-0.016631367403871302,-0.08037523342919994,465.43512629199995,113,0.45132743362831856,1.0766505688038883
3,3,0.1,10000,9068.970898409996,-0.39559445882899436,-0.16380705951020158,-0.014935292005351888,17.250820970412658,-0.09772629744213317,-0.019370713115159446,-0.09310291015900038,418.41120459000007,103,0.4563106796116505,1.0303205259104387
3,4,0.01,10000,9514.174871181995,-0.6093562919832124,-0.07716840200053778,-0.008476921374174296,11.2757580947485,-0.04980231474694594,-0.009918854793721172,-0.04858251288180054,571.9937358180001,140,0.45714285714285713,1.0228187193189067
3,4,0.02,10000,9525.690918573995,-0.7725539353474595,-0.07580003758123537,-0.008070802917429277,12.004236752611643,-0.04859263722889323,-0.009679099729983116,-0.047430908142600495,550.9608624260002,136,0.4338235294117647,1.1477671879748355
3,4,0.03,10000,9636.195940011996,-0.6552698529110373,-0.06094436391843594,-0.007321451475769529,10.588085547959267,-0.03705867428335886,-0.007390179196149387,-0.036380405998800415,546.875995988,134,0.44029850746268656,1.166622786421115
3,4,0.04,10000,9349.550084809998,-0.6679886830213739,-0.09582669729440606,-0.012365835386540694,11.446770911171868,-0.06725687012287734,-0.01337184994225817,-0.06504499151900017,517.1311941900002,129,0.4496124031007752,1.0634917406981645
