up_days,down_days,trail_percent,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
3,3,0.01,10000,9492.082012899995,-1.1736356175886715,-0.15495323886361376,-0.009866604071414287,7.770051017243169,-0.052127114245044716,-0.01037946129424556,-0.05079179871000051,675.0279551000003,174,0.46551724137931033,0.8971070919662945
3,3,0.02,10000,10058.103247040004,-0.7307246398565451,0.014164145968402382,0.0014902764554294385,4.933788514120723,0.005793509869078307,0.0011602949309019318,0.005810324704000413,623.4840049600002,156,0.532051282051282,0.8991875698722617
3,3,0.03,10000,9313.283484377978,-0.8472980608064777,-0.16192446217201878,-0.010197730484249807,13.630440791364132,-0.07114338027665688,-0.014139068691662347,-0.06867165156220217,526.593520622,133,0.49624060150375937,0.8177632267589933
3,3,0.04,10000,8843.331766438,-1.310263489782436,-0.35009479948735456,-0.020698538471905045,14.441649000746656,-0.12292139069631478,-0.024303598472895642,-0.11566682335620007,417.55975263999994,111,0.44144144144144143,0.8266639343957133
3,3,0.05,10000,8712.004021045981,-1.0385855434818634,-0.7266059166849884,-0.02268594527632388,17.02997048803836,-0.13788324581092382,-0.027221192222283797,-0.1287995978954019,342.96063195399995,94,0.39361702127659576,0.9117146601504771
3,3,0.06,10000,8809.701125468004,-1.2503139377961647,-0.5301015642857414,-0.031151783602619196,14.48931175689024,-0.12673157808587698,-0.025047422587572827,-0.11902988745319963,271.374188532,72,0.4305555555555556,0.8095561940615043
3,3,0.07,10000,8700.41798099399,-1.0826754957043323,-0.7606241256452704,-0.036580631207921266,16.79312070899698,-0.13921402469516095,-0.027480274062481828,-0.12995820190060095,217.34166000599996,58,0.39655172413793105,0.8304582497746106
3,3,0.08,10000,8540.675754774,-1.004001217292178,-0.928670532984373,-0.044522745355388624,17.771481477735882,-0.15774496013036077,-0.0310807954417559,-0.14593242452260002,188.3997362260001,51,0.39215686274509803,0.763450036416605
3,3,0.09,10000,9343.583527567998,-0.8826746742672866,-0.560945667235061,-0.043044899875219214,11.781786333568036,-0.06789523900937272,-0.01349790848407093,-0.06564164724320017,138.106420514,37,0.43243243243243246,0.8506865081980158
3,3,0.1,10000,9115.782198032008,-0.8270927439046565,-0.7596630628525071,-0.04939598870479962,14.19323134236734,-0.09257787416983626,-0.01835965130872469,-0.08842178019679922,133.078908048,36,0.4166666666666667,0.8074691422210971
