up_days,down_days,trail_percent,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
3,3,0.01,10000,10433.275724276013,-0.09137114120420253,0.058487334854031514,0.012355051060084544,4.021750568877459,0.04241519423382086,0.008532723313118816,0.04332757242760126,771.6443857239993,202,0.5346534653465347,0.9778737865922438
3,3,0.02,10000,10662.955540363997,0.045097281459801825,0.07515454055552427,0.015308995560391185,5.145047621189534,0.06419054250915504,0.012941545085867073,0.0662955540363997,746.5153776359997,194,0.5257731958762887,1.049064403451538
3,3,0.03,10000,11012.085980859996,0.25354393210467935,0.12694572306068905,0.02597243598893675,5.075635600166602,0.09640830217991596,0.019500003947210492,0.10120859808599962,696.4047351399996,177,0.5254237288135594,1.120997559487252
3,3,0.04,10000,11166.461601611998,0.27423263350806115,0.1360064904506028,0.0256839602509713,6.392523704049139,0.11032969296549805,0.02234705632083234,0.1166461601611998,636.1940123879999,162,0.5308641975308642,1.098869368705791
3,3,0.05,10000,11509.393361790007,0.41198669383105513,0.18708666815485475,0.04342848719241067,5.3750508021862755,0.14057842303278784,0.028560635479878124,0.15093933617900074,563.9240371540005,147,0.5238095238095238,1.1883066659961654
3,3,0.06,10000,12271.655732637999,0.7882617307236908,0.26722658310487685,0.0668840689218634,5.5528375748347125,0.20470709816027358,0.04185888732609613,0.22716557326379988,530.7669983060001,136,0.5735294117647058,1.1084677788956847
3,3,0.07,10000,11845.02646933799,0.6678505142463093,0.2356496501073358,0.046087878749299226,7.2653744691696795,0.1693229792565019,0.03450022389993884,0.18450264693379903,484.9988716780003,124,0.5725806451612904,1.0068348597969585
3,3,0.08,10000,11606.657657701999,0.795770605236617,0.21743146452076664,0.0486313054012627,6.548435019559154,0.1489937764887868,0.03029599022296775,0.16066576577019986,450.8174253140001,114,0.5701754385964912,0.9722685982135296
3,3,0.09,10000,10599.852236213997,0.004191357136215694,0.09179912593918323,0.015739452568594457,8.15603219748353,0.058254968047001844,0.011737871090133266,0.05998522362139975,403.029178802,103,0.5533980582524272,0.8790232417610638
3,3,0.1,10000,11376.489035485996,0.19905751119863796,0.2634295143001586,0.03241357337158328,10.477337133270517,0.12896376749430805,0.026170343187527072,0.13764890354859963,390.61833753,92,0.5760869565217391,0.9068380178922527
3,4,0.01,10000,9558.548950062002,-0.6221049645425318,-0.08569077194637005,-0.008029908905017785,9.585725993878302,-0.04514916091732957,-0.009003412389001429,-0.04414510499379976,569.153310938,155,0.5096774193548387,0.8257263141863995
3,4,0.02,10000,10342.734078797996,-0.1462051920400018,0.049574623419743856,0.00871588376897616,6.024768515503187,0.03369915881276707,0.006773383215139631,0.03427340787979956,563.6321562019998,147,0.5306122448979592,0.9734743934584053
