Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,5,0.01,0.03,10000,8866.660452597987,-2.2927791592664124,-0.44463827022775465,-0.013589619123594795,11.730186279614617,-0.12028686670956101,-0.023807638568442327,-0.11333395474020126,620.5107204279998,192,0.359375,0.903601445373298
5,5,0.01,0.05,10000,8831.256635147984,-2.300286744934071,-0.49157911838948815,-0.014052218242789098,12.032793845989193,-0.12428777421759953,-0.024589698065785523,-0.11687433648520164,604.2245808779999,187,0.33689839572192515,0.9557752635265878
5,5,0.01,0.07,10000,8956.361788465983,-2.265004209244491,-0.47927124775420993,-0.014139983176076341,10.782293033504319,-0.11022099886241245,-0.02183728369365426,-0.10436382115340166,599.4394205599998,184,0.33695652173913043,1.0268564017153472
5,5,0.02,0.03,10000,8755.972287817993,-2.7238568760815176,-0.4305104207335076,-0.01478774403327802,13.00182775596879,-0.13284907827471074,-0.026261076555630345,-0.12440277121820072,565.0993612079998,176,0.4090909090909091,0.7132641409014064
5,5,0.02,0.05,10000,8787.67883728199,-2.695257532252681,-0.44009522712891486,-0.015429002634757273,12.55029731554436,-0.12923448473780555,-0.025555768024816836,-0.12123211627180099,546.6127217439998,170,0.4,0.7272639949222526
5,5,0.02,0.07,10000,8945.580656687991,-2.364032153703966,-0.4092249638303685,-0.015407921611399134,10.971974215151063,-0.1114254640330947,-0.022073262423718154,-0.1054419343312009,544.8108813379998,168,0.4107142857142857,0.7673932415183157
5,5,0.03,0.03,10000,8812.746548740006,-2.239491550991302,-0.3594411196568016,-0.015038827067560927,12.605570598404345,-0.12638594808502565,-0.024999578745028277,-0.11872534512599942,544.825001286,170,0.45294117647058824,0.6184220539517841
5,5,0.03,0.05,10000,8899.755810989998,-2.3402013535056057,-0.34087296474799184,-0.015293515845027113,11.854361758659927,-0.11656125359976788,-0.023078827220008567,-0.11002441890100018,530.245622036,164,0.45121951219512196,0.6316845557680238
5,5,0.03,0.07,10000,9083.378888419997,-2.1292965825509045,-0.3437086503644182,-0.015117155538803278,10.018939304610237,-0.0961388453265799,-0.019074080791183893,-0.09166211115800034,530.452561606,162,0.4567901234567901,0.6865592858253213
5,7,0.01,0.03,10000,9037.894302145995,-1.9754195351496786,-0.40580818442656696,-0.014168799429800337,10.341257466416408,-0.1011588769011814,-0.02006000654926394,-0.09621056978540055,572.0355408539999,175,0.37142857142857144,0.9797483702199592
5,7,0.01,0.05,10000,8856.986243215995,-1.5732746915027633,-0.5113112580929239,-0.014822849472639387,12.416422093026988,-0.12137853937814862,-0.024021090582392393,-0.11430137567840047,543.0434607839998,167,0.31736526946107785,1.0776132823126618
5,7,0.01,0.07,10000,9051.352832529989,-1.4377440975507165,-0.46825461057551293,-0.014891592991570616,10.473611813747372,-0.09967086219641193,-0.019767866341906973,-0.09486471674700114,531.9470004699998,162,0.3333333333333333,1.1451397613716734
5,7,0.02,0.03,10000,9130.51282216199,-2.67855051121361,-0.34747637080510213,-0.015900707077562023,9.13097103833225,-0.09096323105308335,-0.018056560303200898,-0.08694871778380094,522.627400838,159,0.44025157232704404,0.7715597647577853
5,7,0.02,0.05,10000,9094.215951841978,-1.880005162605339,-0.3777546487725784,-0.016461462611230604,9.760660366323176,-0.09494649124440986,-0.018839758708177595,-0.09057840481580225,491.06400115799977,150,0.4066666666666667,0.8661257157820834
5,7,0.02,0.07,10000,9256.081984097986,-2.7569582966771247,-0.34470450473108816,-0.01597594185383288,8.371060303563787,-0.07730424574150938,-0.015366146444561031,-0.07439180159020144,489.6079409019999,147,0.4217687074829932,0.9058159685453653
5,7,0.03,0.03,10000,9147.391298057992,-1.7890114856639467,-0.27774870814024505,-0.016530124683251844,9.0744931233522,-0.08911635839387622,-0.01769321155908149,-0.08526087019420084,498.97898094200013,151,0.48344370860927155,0.6624180117709502
5,7,0.03,0.05,10000,9098.369334963993,-1.3463819704821547,-0.30741622529686746,-0.016734153100534232,10.175153895787112,-0.09448988948839804,-0.01875001225789783,-0.09016306650360074,459.03080103599996,141,0.45390070921985815,0.7112534110804699
5,7,0.03,0.07,10000,9485.15542311598,-1.5222371805626451,-0.22094289225047622,-0.014694311752124814,6.6595729401803565,-0.05285710354037365,-0.010532369457757313,-0.05148445768840192,463.01458088399994,138,0.4782608695652174,0.8167250646986028
5,9,0.01,0.03,10000,9237.752181259986,-2.1881402073605223,-0.32949990726008443,-0.01449261722622024,8.24192109294586,-0.07928650736191134,-0.01575704981330635,-0.07622478187400138,548.4847807319998,167,0.40119760479041916,0.963611615232932
5,9,0.01,0.05,10000,8927.751529059975,-1.526797101584344,-0.5048594014632635,-0.01582286475782183,11.34615754974959,-0.11342051826880332,-0.02246400806983724,-0.10722484709400251,524.0119609159998,161,0.32298136645962733,1.1084338329530687
5,9,0.01,0.07,10000,9192.936824449976,-1.4107333463292546,-0.4185056289868243,-0.015704912050075827,8.710430839308989,-0.08414964027245203,-0.01671540573289087,-0.08070631755500235,518.6402205019999,157,0.33121019108280253,1.2684388083335274
