Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,5,0.01,0.03,10000,9483.256417286015,-0.9165265440697634,-0.10889380453993326,-0.008589077148252276,9.146732780707282,-0.05305733177796029,-0.010563702853908351,-0.051674358271398525,694.4608187380004,194,0.3917525773195876,1.3163510701117098
5,5,0.01,0.05,10000,9065.814271046025,-0.8145794906029247,-0.17811961802537818,-0.01281949999637327,11.247439852606831,-0.09807442700268264,-0.01943904217434837,-0.09341857289539748,662.812918978,186,0.34946236559139787,1.4143391129118201
5,5,0.01,0.07,10000,8905.753496068022,-0.9027098700172914,-0.20074777761783696,-0.012056225676859007,14.66640697212141,-0.11588756488899493,-0.022928965121936283,-0.10942465039319778,617.6438589560003,178,0.3202247191011236,1.5387573597096906
5,5,0.02,0.03,10000,9487.659743154,-0.798746984952147,-0.10869533461728983,-0.007982932642615828,10.22734202171839,-0.05259311319095882,-0.01047176267358548,-0.05123402568460005,657.27737887,186,0.41935483870967744,1.1761131206766946
5,5,0.02,0.05,10000,9173.491631748018,-0.6664196240417908,-0.15925696195352174,-0.010684662849492424,12.492710491865461,-0.08626711237802193,-0.01711890406634013,-0.08265083682519817,630.0653792759998,179,0.37988826815642457,1.2815894437208966
5,5,0.02,0.07,10000,8890.371094746008,-0.7895959208505074,-0.20330882820034737,-0.011649797939869064,15.843409000297704,-0.11761630139838652,-0.0232669946336132,-0.11096289052539923,592.2761992780001,173,0.35260115606936415,1.3215373993264017
5,5,0.03,0.03,10000,9510.75795323802,-1.2688521522949912,-0.10043806425115437,-0.009710697882753912,8.262881994789181,-0.050161518956732015,-0.009990036993683019,-0.04892420467619795,655.1691587859999,182,0.44505494505494503,1.0713964416301687
5,5,0.03,0.05,10000,9282.42223907802,-0.7769361702486459,-0.1381443079050065,-0.011404529313066541,10.412754249581907,-0.07446256311295617,-0.014793821524702974,-0.07175777609219804,626.954898946,176,0.3977272727272727,1.2307652321915494
5,5,0.03,0.07,10000,8902.306550801994,-0.8941669433780277,-0.19826594275310885,-0.012257757631238922,15.164357882919196,-0.11627468682142367,-0.023004671400919163,-0.10976934491980064,584.3409192220003,170,0.3764705882352941,1.197887905777854
5,7,0.01,0.03,10000,9147.128731114008,-1.3232456690937917,-0.17470869865968924,-0.011104920055553929,11.372916560370033,-0.08914506283035042,-0.017684926995578554,-0.08528712688859923,679.4484989100004,193,0.37305699481865284,1.2848601610270443
5,7,0.01,0.05,10000,8839.565207636011,-1.184704808381296,-0.2302249109695582,-0.013689009575058893,13.549608325428004,-0.12334740221065835,-0.024386792536027452,-0.11604347923639889,623.1522593880002,179,0.31843575418994413,1.4959122168909553
5,7,0.01,0.07,10000,8480.316927944014,-0.9756164305247754,-0.28162162927625134,-0.01302688105986824,20.07730538631768,-0.16483727031030523,-0.03245528635293338,-0.15196830720559865,561.0004990800003,168,0.26785714285714285,1.704156807302998
5,7,0.02,0.03,10000,9255.611172821998,-1.0023617579163846,-0.1585476565696494,-0.010460224592513195,11.271729735454471,-0.07735511210711929,-0.015364060563134798,-0.07443888271780015,637.0858992020003,182,0.4230769230769231,1.083164456350132
5,7,0.02,0.05,10000,8888.593566301986,-1.123812558197777,-0.22623583435696726,-0.013948226157398571,13.364969696211618,-0.11781625999933233,-0.02330608610997166,-0.11114064336980137,593.2937997220001,171,0.36257309941520466,1.2595890443593636
