Lookback,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,5,0.01,0.03,10000,9531.48519860199,-1.5347430448283805,-0.12084735951704761,-0.010397880347866867,6.311273636175539,-0.047984542916187256,-0.00956611678437507,-0.04685148013980106,691.8985864540003,192,0.4322916666666667,1.033481849548391
5,5,0.01,0.05,10000,9281.328898576015,-1.5763292574543721,-0.1835462996444901,-0.012278798888831792,8.645495523571537,-0.0745803561705296,-0.014828740271708432,-0.07186711014239845,642.2266214000001,181,0.39779005524861877,1.0501984741517703
5,5,0.01,0.07,10000,9272.880605370012,-1.391770773584281,-0.18766226223697008,-0.01267685254776354,8.484170297874899,-0.07549101677162462,-0.015008440475352965,-0.07271193946299882,635.8094916300001,179,0.3854748603351955,1.1069184172978965
5,5,0.02,0.03,10000,9847.479073948001,-1.4201228410047981,-0.04532128213944286,-0.006274457741178173,3.888643116900892,-0.015369602145006832,-0.0030740727576234277,-0.015252092605199868,654.0645661080002,177,0.5141242937853108,0.8614156804183698
5,5,0.02,0.05,10000,9503.47981126801,-0.870973639040974,-0.11364912720727141,-0.013162147833558745,6.02348427269476,-0.050927065534575926,-0.010149746249866665,-0.04965201887319909,603.920580708,167,0.48502994011976047,0.8177640176112995
5,5,0.02,0.07,10000,9454.632576818018,-0.8383449199689222,-0.12588660897973988,-0.013934703674984821,6.250835705473692,-0.05608025183774826,-0.011171017498658828,-0.05453674231819823,596.5099561819999,165,0.4727272727272727,0.8425325134574164
5,5,0.03,0.03,10000,9891.742029299998,-0.9152619811261462,-0.029017478181130353,-0.003454833065939924,5.502268567975777,-0.01088482239510977,-0.0021780500709904357,-0.010825797070000226,623.4592507560003,169,0.5502958579881657,0.7617875174333435
5,5,0.03,0.05,10000,9461.245145946023,-0.7229017784526394,-0.11205771337708456,-0.012699877961520882,7.002990697940634,-0.055381096398673994,-0.011032518944422112,-0.05387548540539774,577.7877950300003,162,0.5123456790123457,0.7231416991354043
5,5,0.03,0.07,10000,9460.760011790018,-0.6769830525572155,-0.11159717525263312,-0.012262245472621293,7.2347970594494,-0.05543237364461768,-0.011042677322493573,-0.053923998820998166,571.1162652180003,160,0.50625,0.739974594500439
5,7,0.01,0.03,10000,9912.590482749993,-1.3243470193903362,-0.027455917817780215,-0.00386709908573141,3.8515613462031686,-0.00877937792846142,-0.0017571215719518584,-0.00874095172500074,662.3234763059999,180,0.45555555555555555,1.132217497657577
5,7,0.01,0.05,10000,9897.521966287995,-1.4401411790787446,-0.03235607618953628,-0.004641626442567157,3.859330330243766,-0.01030067362094179,-0.0020612826112145787,-0.010247803371200463,608.7636216879997,164,0.4146341463414634,1.3299928473584886
