up_days,down_days,trail_percent,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
3,3,0.01,10000,9046.567447174002,-1.2366686704643086,-0.23658383591865453,-0.011933371844731512,10.209443035328391,-0.10019969483503043,-0.01985607544837786,-0.09534325528259978,730.0065477899994,210,0.4380952380952381,0.7744800710797483
3,3,0.02,10000,8669.373605382008,-2.271877271609285,-0.23353130789098403,-0.014119790416064676,14.012842358079451,-0.14278855332583074,-0.028175837356954257,-0.13306263946179916,631.5445415820001,185,0.4594594594594595,0.704753562651131
3,3,0.03,10000,9023.526823515997,-1.1551463757024674,-0.17914531460261254,-0.01531051705759182,11.662838272180426,-0.1027498349504461,-0.020356245715806225,-0.09764731764840034,519.5207604479999,149,0.5302013422818792,0.6246815355634883
3,3,0.04,10000,9405.440162745985,-0.6282505260206322,-0.13659957525696598,-0.011774208977601928,10.88702770423954,-0.06129683040625204,-0.012194144886397399,-0.05945598372540153,447.1445542179997,126,0.5238095238095238,0.7390067096727385
3,3,0.05,10000,9011.081898959992,-0.6223251253212964,-0.2752344426881103,-0.01667054816144358,15.33651347765809,-0.10412995100650849,-0.02062682753303164,-0.09889181010400079,371.41298703999996,105,0.4857142857142857,0.7591512933357918
3,3,0.06,10000,9698.009533854,-0.5259397999201868,-0.10077136959055509,-0.01064608713545923,8.962094706266502,-0.0306644312371263,-0.006118959928001626,-0.030199046614600048,318.952201146,86,0.5116279069767442,0.8466550167071105
3,3,0.07,10000,9410.474606123982,-0.5267683955375321,-0.24166209365501579,-0.018715184483514714,11.196943310813042,-0.06076170431113762,-0.012088335110332877,-0.05895253938760179,271.7003738760001,76,0.47368421052631576,0.8878461416126006
3,3,0.08,10000,10133.292674587985,-0.26946781968163286,0.03361089420907733,0.00444568231940079,5.950152746716917,0.013241214365785431,0.0026538615953117218,0.013329267458798495,255.36270738800002,67,0.5223880597014925,0.9142398018370375
3,3,0.09,10000,9476.512617697988,-0.4360258090240373,-0.3120110439739552,-0.02365303483652514,10.840267595736337,-0.05376871173833645,-0.010704577668298486,-0.05234873823020116,209.89597330200004,57,0.47368421052631576,0.888339746945642
3,3,0.1,10000,9783.958835965987,-0.34088409060887753,-0.12582112221878874,-0.012735967864296194,9.107676059378752,-0.021840901898688737,-0.004362108191035879,-0.02160411640340135,198.222733034,53,0.5094339622641509,0.8598125208219749
3,4,0.01,10000,9336.752519792,-1.3882297825285401,-0.2264938631874953,-0.013557812192994427,7.51617159149757,-0.0686265971672947,-0.013642309797609945,-0.06632474802079996,613.0306202080001,171,0.47368421052631576,0.722553598246648
3,4,0.02,10000,8857.822873797995,-2.4605221627631404,-0.26067462215551074,-0.016834636170002075,12.221724654951384,-0.12128408387743209,-0.02398378942221895,-0.11421771262020047,520.2774412019999,150,0.46,0.6878227287477282
3,4,0.03,10000,9354.12928957401,-1.0359407064053046,-0.1721592045266175,-0.014626405737894347,9.317060582931486,-0.06676721193703627,-0.013275146348269361,-0.06458707104259902,452.8542594260001,126,0.5396825396825397,0.65046981709831
3,4,0.04,10000,9672.510070269984,-0.5493744414042525,-0.10744515780579299,-0.008327668176368961,9.442089210807737,-0.03329724427825373,-0.006642578219785755,-0.03274899297300162,418.05042673,112,0.5357142857142857,0.7686624191904641
3,4,0.05,10000,9541.30591594199,-0.450778249921042,-0.15848084411833843,-0.01141248512817373,11.489936230525018,-0.04695472843870035,-0.009354377769018986,-0.045869408405801004,345.912181058,93,0.5161290322580645,0.7768391108856801
3,4,0.06,10000,9990.534361021984,-0.28070579683039015,-0.008493166960058977,-0.0008307132199941583,8.410030425729705,-0.0009470121723105133,-0.00018953490923957913,-0.0009465638978015704,292.10730797800005,78,0.5256410256410257,0.8782043420948931
3,4,0.07,10000,9876.588213647985,-0.28349956046602964,-0.059557108382513546,-0.0053155922620056915,9.6612126150579,-0.012417963377080041,-0.0024824788865091367,-0.012341178635201504,259.816714352,70,0.5142857142857142,0.881332478067545
3,4,0.08,10000,10275.94413780999,-0.2112500463087581,0.13130905349884944,0.022754812800397622,5.0145204513272255,0.027220550058393925,0.005463303876488697,0.027594413780998913,220.59780719000003,59,0.5423728813559322,0.9089710649949565
3,4,0.09,10000,10377.433966187991,-0.11822772185744472,0.22807231331839464,0.03619486334035052,4.932854932883236,0.03704854475928852,0.007443157955327784,0.03774339661879912,193.661779812,52,0.5576923076923077,0.8921347446124178
3,4,0.1,10000,9938.099200261982,-0.29440928477904926,-0.047927302336633046,-0.006559839206343414,6.480075270658959,-0.006209317949670337,-0.0012420779606386037,-0.006190079973801767,172.57554673799996,47,0.5106382978723404,0.8964805147129669
3,5,0.01,10000,9433.52407506599,-1.1957418121269434,-0.20555487529517943,-0.014595687086841865,6.763380104999504,-0.05831535724572448,-0.011604477777481964,-0.056647592493400956,537.7125139340002,150,0.4666666666666667,0.744651615429728
3,5,0.02,10000,9339.056300039983,-2.3789398838415896,-0.1598898312250501,-0.01627510443987607,8.020654351586812,-0.06837988439764792,-0.013593600530228848,-0.06609436999600166,474.93094795999974,134,0.4925373134328358,0.7318994615006733
3,5,0.03,10000,9980.314847071988,-0.549416519074501,-0.008224000050055582,-0.0013494227394733173,5.399455422215358,-0.00197045536549011,-0.0003943263251490706,-0.001968515292801203,436.00526692799997,117,0.5982905982905983,0.665945102358997
