up_days,down_days,trail_percent,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
3,3,0.01,10000,8966.118421681991,-2.039275579320465,-0.17133601625653574,-0.011039576904350529,12.77153489472425,-0.10913223948699138,-0.021606936464430834,-0.10338815783180089,705.6942003580004,200,0.43,0.9319284161330996
3,3,0.02,10000,9070.105916375991,-1.3543983458017126,-0.15681423832919097,-0.010011062957631885,13.592555549000906,-0.09760115127520681,-0.019346148913064794,-0.0929894083624009,656.1265606640004,187,0.44919786096256686,0.9262157004198468
3,3,0.03,10000,9046.871671956007,-1.6683020770555796,-0.17376978811452862,-0.009607907806080947,16.07047104876392,-0.10016606664748347,-0.01984947809745583,-0.0953128328043993,606.8812810840003,170,0.4470588235294118,0.9573834512036455
3,3,0.04,10000,9120.563231762018,-0.6731137555318092,-0.1401647226280258,-0.008227358453174134,19.75978739009542,-0.0920535329461019,-0.018256621236289038,-0.08794367682379815,541.1998202780002,151,0.46357615894039733,0.9429491506171285
3,3,0.05,10000,9257.714940788006,-0.6915126465417941,-0.1229740339287095,-0.00850240341433433,17.984857216820238,-0.07712784144142111,-0.01531926822258215,-0.0742285059211994,495.4984802519997,137,0.4744525547445255,0.9389241079840555
3,3,0.06,10000,9583.514868944012,-0.6361503559483979,-0.06813402015158591,-0.006348925819150331,15.979820461777008,-0.042540671751877694,-0.008478743181160976,-0.04164851310559879,456.0783200959998,122,0.5081967213114754,0.8783535591781809
3,3,0.07,10000,8925.317432474016,-0.7802630689865827,-0.20134371443828425,-0.015879342086836154,17.453729693086437,-0.11369319929706642,-0.02249972005412073,-0.10746825675259843,393.77559956599987,110,0.4909090909090909,0.8158209411181352
3,3,0.08,10000,9758.964154234014,-0.3403711382676667,-0.07714819497398358,-0.006257600895884455,15.534864309055697,-0.024398829939734218,-0.004871736303901383,-0.024103584576598586,341.078379766,93,0.4946236559139785,0.9347763012655171
3,3,0.09,10000,10194.741312190003,-0.2914638069980421,0.013549189867751641,0.0019549809774753167,10.021179791191496,0.019286936722218522,0.0038679123343435154,0.019474131219000265,332.3415398100001,88,0.5340909090909091,0.8748240644767861
3,3,0.1,10000,10674.889227047996,0.04500197601072334,0.11432060240175411,0.01712912996326713,9.381707878871074,0.06530908920947189,0.013158007228348631,0.06748892270479956,320.5134599519999,83,0.5421686746987951,0.923190990986136
