up_days,down_days,trail_percent,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
3,3,0.01,10000,9453.828561483999,-1.5967541756136676,-0.2397627470574466,-0.01223735292534546,6.6152880473192885,-0.05616529475357542,-0.011187862673760582,-0.054617143851600124,590.3414205160001,176,0.4602272727272727,0.782999210788555
3,3,0.02,10000,9854.800280651996,-1.0521030510543887,-0.07067842116420928,-0.006334449635826666,4.256112838013124,-0.014626418383453086,-0.002925646297408037,-0.014519971934800379,484.5695793480001,142,0.5352112676056338,0.7964672836931155
3,3,0.03,10000,9636.79523500599,-0.8389165567531572,-0.16622660055170385,-0.010342870052518027,7.25823084450434,-0.03699648414496834,-0.007383666223818943,-0.036320476499401046,400.1586400420001,118,0.4745762711864407,0.906758763594406
3,3,0.04,10000,10290.279440252003,-0.6273832840980481,0.22637918243452723,0.03001855092208583,3.1721338208750267,0.028614612970257025,0.005748480506390385,0.029027944025200304,288.0624997479999,82,0.5853658536585366,0.8291678235471183
3,3,0.05,10000,10372.116347217998,-0.23198718701800725,0.3036421019124848,0.034028103379899366,4.052393416232405,0.03653599205273914,0.007345663567392438,0.03721163472179978,253.925579782,71,0.5774647887323944,0.8830095703879559
3,3,0.06,10000,9870.351797226,-0.5457405068933667,-0.16898445492004713,-0.009832220810423375,7.319667642371473,-0.013049597101180255,-0.002610655033210906,-0.01296482027740003,183.003539758,53,0.5094339622641509,0.8462530091561756
3,3,0.07,10000,10617.395768136006,0.00884451289666762,0.6297372061404353,0.12885620259048572,2.7544614254346595,0.05990867317563075,0.01207308182282152,0.061739576813600615,145.48105986800002,41,0.6341463414634146,0.8550503307246999
3,3,0.08,10000,10687.657075595998,0.10289468249845134,1.2152697716379404,0.16248565822208053,2.9576939345554614,0.06650443829262039,0.013411167409457693,0.06876570755959983,117.78992040800001,34,0.6764705882352942,0.7707105755615214
3,3,0.09,10000,10739.965016889997,0.1578191802185337,0.7748533666888358,0.16234591555645075,3.2719971603124636,0.07138673880855576,0.014402781029083253,0.07399650168899971,116.13182011400002,33,0.6666666666666666,0.7684246295204942
3,3,0.1,10000,10473.336965567998,-0.17207877607039618,0.5531175826445374,0.1168438926186998,3.5051959715451453,0.04624759797315252,0.009307270468822435,0.0473336965567998,98.80794048,28,0.6071428571428571,0.8576759117869953
3,4,0.01,10000,9438.078193600013,-2.004320144843538,-0.275843139934181,-0.01760814346315673,6.257383201481915,-0.057832714748538266,-0.01151808479670614,-0.056192180639998694,442.8224404000002,133,0.48872180451127817,0.6124971968778848
3,4,0.02,10000,9637.929464088016,-0.9806641593845657,-0.18017418465232313,-0.015006467562066233,5.596570185853839,-0.03687879332436848,-0.007360264436535782,-0.036207053591198385,373.100659912,112,0.5357142857142857,0.651851274543235
3,4,0.03,10000,9914.391081575997,-0.6627263782850211,-0.03193779743643961,-0.0036339235553331482,4.744668960293441,-0.00859774676840679,-0.0017208008579264603,-0.00856089184240027,320.0631604720001,94,0.5319148936170213,0.825695336988278
3,4,0.04,10000,10009.191926846002,-0.4008146245413561,0.0214623984607596,0.0017454891160439058,6.003607614887895,0.0009187704857060712,0.00018406317156782195,0.0009191926846002389,257.2901001539999,75,0.5733333333333334,0.7392669095273761
3,4,0.05,10000,10183.725011034006,-0.24138823067325696,0.19485399999221023,0.012639046240189184,6.377177184882857,0.0182057658377786,0.003653600148713621,0.018372501103400645,225.83693996600005,64,0.546875,0.9125287410365855
3,4,0.06,10000,9867.212759194,-0.34959454196171896,-0.1470768147231063,-0.009007728141498791,8.663551951759326,-0.013367674648133137,-0.0026742033133881253,-0.013278724080599932,170.24281979,50,0.5,0.8733298291765953
3,4,0.07,10000,9970.00933395201,-0.308456830282218,-0.10459205816697417,-0.004952257924018759,8.195226029768122,-0.0030035728169245063,-0.0006014886276327011,-0.002999066604799009,154.04766005200003,44,0.5227272727272727,0.8354076827078181
3,4,0.08,10000,10659.587345764015,0.05855022892391087,1.091287360680518,0.14206756171253723,3.1394936473231163,0.06387461446567685,0.012877442032105332,0.06595873457640154,125.72986024000001,35,0.6571428571428571,0.7863361745306724
3,4,0.09,10000,10683.230477672001,0.06986190021823482,0.7461639994775267,0.14129673703590162,3.968626752828926,0.0660901739831696,0.013327073395167068,0.06832304776720012,103.676440332,29,0.6551724137931034,0.8177632786022875
3,4,0.1,10000,10443.294249241993,-0.14511831355717075,0.6122451898439425,0.09972729880360408,3.9823095519982323,0.04337498080295281,0.0087266449694887,0.04432942492419934,95.660519806,27,0.5925925925925926,0.8864675820036306
3,5,0.01,10000,9572.07595192401,-2.4597976107952877,-0.2706480638618644,-0.019368482536873857,4.80714983724502,-0.043734988177475904,-0.008722638940622663,-0.042792404807599084,398.3446800760001,119,0.5042016806722689,0.6020257808154855
3,5,0.02,10000,9927.679139097998,-1.024487270770473,-0.04730259527430287,-0.007283333190328664,2.7159127399065675,-0.007258364399458284,-0.0014529242679524412,-0.00723208609020021,328.720879902,97,0.5670103092783505,0.7152944246691285
3,5,0.03,10000,10341.061731791999,-0.2850173004265657,0.20181735529164382,0.05329664299974355,1.987595654176242,0.03353745280629176,0.006740771717563042,0.03410617317919987,297.692520256,86,0.6046511627906976,0.8447598881457196
3,5,0.04,10000,10614.189325122004,0.0032672981696035847,0.5464665537534577,0.13998794091188904,1.657835144485685,0.05960662855444073,0.012011848230065769,0.061418932512200444,243.123039878,68,0.6617647058823529,0.7839405548189647
3,5,0.05,10000,10863.038890004007,0.4074850269865512,0.7507864494076373,0.17559896777113618,2.093919312499498,0.08278100649387421,0.016720775932329447,0.0863038890004007,215.96321999600008,59,0.6610169491525424,0.8930342829138311
3,5,0.06,10000,10661.138334910002,0.04557607940706049,0.7274369338091426,0.09475533416267698,3.6904339296812094,0.06402010568130918,0.012906962273187913,0.06611383349100015,160.63722007399997,46,0.6304347826086957,0.9106278252496153
