Short Period,Long Period,Exit After,Stop Loss,Take Profit,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
5,50,5,0.01,0.03,10000,10305.491311463998,-0.46674389187189386,0.34699655287631526,0.1144163933592791,2.3142907525566767,0.03009179720982678,0.006046132096562336,0.03054913114639985,102.90129453599998,28,0.5,1.6838422585927162
5,50,5,0.01,0.05,10000,10272.907046314,-0.5092682914814449,0.3234467573536159,0.10200949452247304,2.3142907525566767,0.026924952850463313,0.00540812314907539,0.027290704631399966,102.59551468599997,28,0.42857142857142855,2.1009318116801423
5,50,5,0.01,0.07,10000,10291.424046393999,-0.4847710584112925,0.34561280837151714,0.10900028236773007,2.3142907525566767,0.028725838568654807,0.00577088932049543,0.029142404639399867,102.55855460599997,28,0.42857142857142855,2.1530140912582296
5,50,5,0.02,0.03,10000,10643.687676501993,0.04420610781365878,0.6983817631151903,0.3306570423827568,1.6772414228455328,0.06238191700975669,0.012574622654274338,0.06436876765019933,103.55837449799999,28,0.5714285714285714,1.8870120126596495
5,50,5,0.02,0.05,10000,10521.784882219994,-0.1260722215807063,0.6024012240486479,0.17943177985031708,2.5113089995540654,0.050862765534201805,0.010240807484959338,0.05217848822199939,103.42448777999998,28,0.4642857142857143,2.3483186523453954
5,50,5,0.02,0.07,10000,10535.325262927994,-0.09092595976583363,0.6316320696063508,0.18393711955461928,2.5113089995540654,0.052148828292190384,0.01050110073858396,0.053532526292799414,103.39746107199998,28,0.42857142857142855,2.705103061879772
5,50,5,0.03,0.03,10000,10729.504688513995,0.1397368243168473,0.985770720540078,0.5747735945615737,1.1314045723589612,0.07041230121440631,0.014204791612539932,0.07295046885139946,99.601334486,27,0.5925925925925926,2.055624145817527
5,50,5,0.03,0.05,10000,10607.601894231995,-0.0033406249790495423,0.8659625858726734,0.30346806451752406,1.790436372829375,0.05898581092095303,0.011886001325898744,0.060760189423199516,99.46744776799999,27,0.48148148148148145,2.543949478465079
5,50,5,0.03,0.07,10000,10621.142274939995,0.013595944856617031,0.9051043799986105,0.3099693064811346,1.790436372829375,0.06026147588128326,0.012144610307931089,0.06211422749399953,99.44042105999999,27,0.4444444444444444,2.9294180670232923
5,50,10,0.01,0.03,10000,10266.958501523995,-0.515493452947321,0.3133731314270941,0.09982828635546331,2.3142907525566767,0.0263457333864937,0.005291474358087755,0.026695850152399545,102.82407447599999,28,0.4642857142857143,1.7960576046145909
5,50,10,0.01,0.05,10000,10225.541959328,-0.5590691346804428,0.27177768436183153,0.08399515332643442,2.3142907525566767,0.022303610887453015,0.004477809506943514,0.02255419593280003,102.50059467199998,28,0.42857142857142855,1.9122410318922487
5,50,10,0.01,0.07,10000,10313.798195480003,-0.45559463990829435,0.37942228662951777,0.11726277002559608,2.3142907525566767,0.03089753636612707,0.006208525099857325,0.03137981954800034,102.32443451999998,28,0.42857142857142855,2.138771894293441
5,50,10,0.02,0.03,10000,10684.709998051992,0.09622450834764558,0.7854399087514544,0.3509574291817928,1.6772414228455328,0.06622865437476724,0.013355183589780925,0.06847099980519925,103.19268794799999,28,0.5714285714285714,1.8154031274348017
5,50,10,0.02,0.05,10000,10552.627590795993,-0.08005405970493837,0.6787964236407246,0.18967049589746493,2.5113089995540654,0.05378979665650956,0.01083332265622445,0.05526275907959934,103.03840120399997,28,0.5,1.9605704941067197
5,50,10,0.02,0.07,10000,10594.684883487997,-0.015070537402698382,0.7450350046828143,0.2036361957453796,2.5113089995540654,0.05776735628183786,0.011639051995199694,0.059468488348799656,102.95445451199998,28,0.4642857142857143,2.23815576251326
5,50,10,0.03,0.03,10000,10746.206579483993,0.15282937920494308,0.9585531981766313,0.5868833612765394,1.1314045723589612,0.07196772297705373,0.014520845683785182,0.07462065794839927,100.26935451599999,27,0.5925925925925926,1.8157370901342422
5,50,10,0.03,0.05,10000,10594.014478215995,-0.019354028517591753,0.8191477314540685,0.29626993166202475,1.790436372829375,0.0577040767703603,0.01162622851661793,0.05940144782159951,100.07476778399997,27,0.5185185185185185,1.910500662392029
5,50,10,0.03,0.07,10000,10649.796723909996,0.04166405054357731,0.9192875591743666,0.3112367120135973,1.8595876084775806,0.06295571202242232,0.012691016137994064,0.06497967239099962,98.93588109,27,0.48148148148148145,2.232590889934351
5,50,15,0.01,0.03,10000,10266.958501523995,-0.515493452947321,0.3133731314270941,0.09982828635546331,2.3142907525566767,0.0263457333864937,0.005291474358087755,0.026695850152399545,102.82407447599999,28,0.4642857142857143,1.7960576046145909
5,50,15,0.01,0.05,10000,10276.080695296,-0.5053483742047605,0.33363951283543053,0.1031140658298455,2.3142907525566767,0.027233839015284655,0.005470335151756818,0.027608069529599925,102.60187470399998,28,0.42857142857142855,2.04196085615237
5,50,15,0.01,0.07,10000,10374.596339512003,-0.36323695684643,0.45313571189149804,0.1400443533402703,2.3142907525566767,0.03677506533083036,0.007393907183920284,0.03745963395120034,102.44627448799999,28,0.42857142857142855,2.2948249575154076
5,50,15,0.02,0.03,10000,10684.709998051992,0.09622450834764558,0.7854399087514544,0.3509574291817928,1.6772414228455328,0.06622865437476724,0.013355183589780925,0.06847099980519925,103.19268794799999,28,0.5714285714285714,1.8154031274348017
5,50,15,0.02,0.05,10000,10603.166326763994,-0.00993573256810023,0.7401245298667243,0.2067471345243797,2.5113089995540654,0.05856757359107964,0.011801228611729692,0.060316632676399425,103.13968123599997,28,0.5,2.048416304538272
5,50,15,0.02,0.07,10000,10655.483027519997,0.048912922665273695,0.8200708563109556,0.22407853881688594,2.5113089995540654,0.06348950494242724,0.012799307267990839,0.06554830275199966,103.07629447999999,28,0.4642857142857143,2.3490111307821837
5,50,15,0.03,0.03,10000,10746.206579483993,0.15282937920494308,0.9585531981766313,0.5868833612765394,1.1314045723589612,0.07196772297705373,0.014520845683785182,0.07462065794839927,100.26935451599999,27,0.5925925925925926,1.8157370901342422
5,50,15,0.03,0.05,10000,10644.553214183996,0.041666831889320875,0.8874564290045601,0.32101203081082236,1.790436372829375,0.06246323304586541,0.012591116680306262,0.06445532141839957,100.17604781599998,27,0.5185185185185185,1.9940431754236303
5,50,15,0.03,0.07,10000,10710.594867941996,0.0976322561622691,1.003269467828652,0.3397178977720339,1.8595876084775806,0.06864833314835361,0.013846481101280476,0.07105948679419961,99.057721058,27,0.48148148148148145,2.340720795123497
5,50,20,0.01,0.03,10000,10266.958501523995,-0.515493452947321,0.3133731314270941,0.09982828635546331,2.3142907525566767,0.0263457333864937,0.005291474358087755,0.026695850152399545,102.82407447599999,28,0.4642857142857143,1.7960576046145909
5,50,20,0.01,0.05,10000,10276.080695296,-0.5053483742047605,0.33363951283543053,0.1031140658298455,2.3142907525566767,0.027233839015284655,0.005470335151756818,0.027608069529599925,102.60187470399998,28,0.42857142857142855,2.04196085615237
5,50,20,0.01,0.07,10000,10374.596339512003,-0.36323695684643,0.45313571189149804,0.1400443533402703,2.3142907525566767,0.03677506533083036,0.007393907183920284,0.03745963395120034,102.44627448799999,28,0.42857142857142855,2.2948249575154076
5,50,20,0.02,0.03,10000,10684.709998051992,0.09622450834764558,0.7854399087514544,0.3509574291817928,1.6772414228455328,0.06622865437476724,0.013355183589780925,0.06847099980519925,103.19268794799999,28,0.5714285714285714,1.8154031274348017
5,50,20,0.02,0.05,10000,10603.166326763994,-0.00993573256810023,0.7401245298667243,0.2067471345243797,2.5113089995540654,0.05856757359107964,0.011801228611729692,0.060316632676399425,103.13968123599997,28,0.5,2.048416304538272
5,50,20,0.02,0.07,10000,10655.483027519997,0.048912922665273695,0.8200708563109556,0.22407853881688594,2.5113089995540654,0.06348950494242724,0.012799307267990839,0.06554830275199966,103.07629447999999,28,0.4642857142857143,2.3490111307821837
5,50,20,0.03,0.03,10000,10746.206579483993,0.15282937920494308,0.9585531981766313,0.5868833612765394,1.1314045723589612,0.07196772297705373,0.014520845683785182,0.07462065794839927,100.26935451599999,27,0.5925925925925926,1.8157370901342422
5,50,20,0.03,0.05,10000,10644.553214183996,0.041666831889320875,0.8874564290045601,0.32101203081082236,1.790436372829375,0.06246323304586541,0.012591116680306262,0.06445532141839957,100.17604781599998,27,0.5185185185185185,1.9940431754236303
5,50,20,0.03,0.07,10000,10710.594867941996,0.0976322561622691,1.003269467828652,0.3397178977720339,1.8595876084775806,0.06864833314835361,0.013846481101280476,0.07105948679419961,99.057721058,27,0.48148148148148145,2.340720795123497
5,60,5,0.01,0.03,10000,9907.957262623995,-1.2755843659504438,-0.12729124526134697,-0.025661784556522998,3.0083485365829556,-0.009246894797309738,-0.0018506046642266984,-0.009204273737600488,109.31779537600002,31,0.41935483870967744,1.1477668224950073
5,60,5,0.01,0.05,10000,9897.683911195998,-1.1459392962007362,-0.14645246956042587,-0.025409069645735517,3.386838958506028,-0.010284311587729456,-0.00205801175273638,-0.010231608880400199,109.327828804,31,0.3548387096774194,1.4926503240552391
5,60,5,0.01,0.07,10000,9945.53944322,-0.9380838018174743,-0.08022273877602928,-0.013912344689594725,3.386838958506028,-0.005460939502578552,-0.0010933261712187767,-0.005446055678000084,109.23230878000001,31,0.3548387096774194,1.644908712976239
5,60,5,0.02,0.03,10000,10000.326912009996,-0.8407621168105284,-0.003554494273449931,-0.0007045182893345395,3.416605051951354,3.2690666653913625e-05,6.548549261040028e-06,3.269120099957945e-05,105.83158899000001,30,0.5,1.0005798883600232
5,60,5,0.02,0.05,10000,10058.576665611998,-0.6447572904457812,0.06891550210713261,0.012049425026818739,3.7950954738744267,0.0058405771360564036,0.0011706572113107502,0.005857666561199767,105.69846238799998,30,0.43333333333333335,1.4359726386664615
5,60,5,0.02,0.07,10000,10061.273247736,-0.5717602286312999,0.07315956180435934,0.012569353304063552,3.7950954738744267,0.006108629050137469,0.0012244171277408446,0.006127324773600049,106.21184226399998,30,0.4,1.6483746115704156
5,60,5,0.03,0.03,10000,9998.654981059992,-0.7872999246471132,-0.005864200392798888,-0.0011670206538802925,3.374622611600738,-0.0001345109401916786,-2.6944594800526193e-05,-0.00013450189400082308,106.00362894000001,30,0.5333333333333333,0.8729982076236777
5,60,5,0.03,0.05,10000,10056.904734661997,-0.594434074535289,0.06617705328323967,0.011780191281163976,3.7531130335238108,0.005674343883112478,0.0011373192771252517,0.005690473466199728,105.870502338,30,0.4666666666666667,1.2475310647838491
5,60,5,0.03,0.07,10000,10061.974912818,-0.5329913328969258,0.07041424129348885,0.01282657561741467,3.7531130335238108,0.0061783658119847805,0.0012384038561823792,0.006197491281799921,106.41028218199999,30,0.43333333333333335,1.4340788408891023
5,60,10,0.01,0.03,10000,9884.750473215996,-1.2296200023678847,-0.1610009371630796,-0.029729532839219686,3.2381832969029567,-0.011591879662659742,-0.0023193678449892714,-0.011524952678400405,109.271288784,31,0.3870967741935484,1.252439035821084
5,60,10,0.01,0.05,10000,9933.535076853996,-1.146288579053915,-0.09930712284699922,-0.015793204597944754,3.6166737188260294,-0.006668678606634577,-0.001334964269257715,-0.006646492314600436,109.05338214599999,31,0.3225806451612903,1.8720708088681413
5,60,10,0.01,0.07,10000,10056.260080941998,-0.7177224007208777,0.07323373746593871,0.011627351068825845,3.6166737188260294,0.005610241219396472,0.0011244638402946828,0.005626008094199824,108.80842205799999,31,0.3225806451612903,2.2929335675895466
5,60,10,0.02,0.03,10000,9927.370531985996,-0.7985154857000963,-0.0924376367050483,-0.015647114652495884,4.11955259257608,-0.007289450407011924,-0.0014591422868821743,-0.007262946801400358,105.867989014,30,0.4666666666666667,1.0190725853831901
5,60,10,0.02,0.05,10000,10043.330904725995,-0.6029135581886831,0.047614886700278296,0.007108327099453319,4.498043014499153,0.00432372966714728,0.0008664959191064983,0.004333090472599542,105.50422227399999,30,0.4,1.588695285216978
5,60,10,0.02,0.07,10000,10120.896958914,-0.44303576171726244,0.14439590588361195,0.021328891271708488,4.498043014499153,0.012017199241418256,0.002410160676215519,0.01208969589139997,105.86816208599998,30,0.36666666666666664,2.003814923806651
5,60,10,0.03,0.03,10000,9915.918240955993,-0.7647545386510282,-0.11000705900706152,-0.018226868174977075,4.077570152225465,-0.00844372401886968,-0.0016899999517861546,-0.00840817590440074,106.02042904400002,30,0.5,0.8806522153590539
5,60,10,0.03,0.05,10000,10031.878613695995,-0.5770686927055699,0.0338727190468509,0.004989715761677788,4.456060574148537,0.0031827909126283596,0.0006377734897950673,0.0031878613695995226,105.65666230400001,30,0.43333333333333335,1.3620609754961934
5,60,10,0.03,0.07,10000,10103.734488865999,-0.43844770518350323,0.12251646871026049,0.018288375685190292,4.456060574148537,0.010320013884846005,0.0020694224856124756,0.010373448886599908,106.030802134,30,0.4,1.6957802106154407
5,60,15,0.01,0.03,10000,9884.750473215996,-1.2296200023678847,-0.1610009371630796,-0.029729532839219686,3.2381832969029567,-0.011591879662659742,-0.0023193678449892714,-0.011524952678400405,109.271288784,31,0.3870967741935484,1.252439035821084
5,60,15,0.01,0.05,10000,9933.535076853996,-1.146288579053915,-0.09930712284699922,-0.015793204597944754,3.6166737188260294,-0.006668678606634577,-0.001334964269257715,-0.006646492314600436,109.05338214599999,31,0.3225806451612903,1.8720708088681413
5,60,15,0.01,0.07,10000,10056.260080941998,-0.7177224007208777,0.07323373746593871,0.011627351068825845,3.6166737188260294,0.005610241219396472,0.0011244638402946828,0.005626008094199824,108.80842205799999,31,0.3225806451612903,2.2929335675895466
5,60,15,0.02,0.03,10000,9927.370531985996,-0.7985154857000963,-0.0924376367050483,-0.015647114652495884,4.11955259257608,-0.007289450407011924,-0.0014591422868821743,-0.007262946801400358,105.867989014,30,0.4666666666666667,1.0190725853831901
5,60,15,0.02,0.05,10000,10053.590312789996,-0.5831477889639444,0.06029224665762508,0.00900114957223884,4.498043014499153,0.00534472276794955,0.0010712173323647923,0.005359031278999646,105.52478221,30,0.4,1.6096955650437654
