Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,221.240005,222.429993,220.880005,221.580002,212.019150,230100
2019-07-31,222.520004,222.960007,216.050003,218.350006,208.928543,664600
2019-08-01,218.740005,223.199997,216.179993,217.250000,207.876007,880600
2019-08-02,215.509995,216.000000,211.440002,213.199997,204.000778,686600
2019-08-05,207.580002,207.610001,202.619995,204.440002,195.618729,1097000
2019-08-06,206.970001,208.270004,205.169998,207.429993,198.479691,695200
2019-08-07,205.270004,209.250000,204.139999,208.850006,199.838455,462400
2019-08-08,210.520004,214.100006,210.119995,214.020004,204.785385,1096400
2019-08-09,212.889999,213.320007,210.100006,211.580002,202.450653,358700
2019-08-12,210.210007,210.669998,207.820007,208.770004,199.761902,411100
2019-08-13,208.630005,214.539993,208.160004,213.789993,204.565247,423700
2019-08-14,209.779999,210.509995,206.550003,207.220001,198.278763,2258200
2019-08-15,207.360001,207.770004,205.059998,206.809998,197.886505,643200
2019-08-16,208.820007,211.100006,208.289993,210.529999,201.445969,354700
2019-08-19,213.839996,214.460007,212.600006,213.639999,204.421783,658300
2019-08-20,213.360001,214.339996,212.389999,212.690002,203.512756,339400
2019-08-21,214.750000,215.750000,214.149994,215.149994,205.866623,372000
2019-08-22,215.710007,216.149994,212.850006,214.639999,205.378632,259500
2019-08-23,213.470001,215.509995,207.050003,207.789993,198.824203,625900
2019-08-26,210.369995,210.679993,208.860001,210.419998,201.340668,377200
2019-08-27,211.830002,212.179993,208.750000,209.899994,200.843124,362400
2019-08-28,208.770004,210.380005,207.160004,210.000000,200.938812,300700
2019-08-29,212.839996,214.350006,212.289993,213.699997,204.479233,415900
2019-08-30,214.990005,215.220001,211.960007,213.559998,204.345245,317500
2019-09-03,211.960007,212.639999,210.149994,210.929993,201.828690,460500
2019-09-04,213.220001,214.580002,213.059998,214.580002,205.321259,250900
2019-09-05,217.270004,219.770004,217.199997,218.919998,209.473892,438800
2019-09-06,219.410004,219.520004,218.199997,218.610001,209.177338,274900
2019-09-09,219.490005,219.669998,215.630005,216.929993,207.569824,700400
2019-09-10,215.720001,215.850006,213.300003,215.850006,206.536407,439600
2019-09-11,216.389999,218.199997,215.940002,218.070007,208.660599,290400
2019-09-12,219.500000,221.000000,218.350006,219.089996,209.636581,1673200
2019-09-13,218.880005,219.000000,217.369995,217.539993,208.153503,284900
2019-09-16,215.869995,217.770004,215.460007,217.330002,207.952576,291000
2019-09-17,217.429993,218.250000,217.009995,218.110001,208.698898,196400
2019-09-18,217.929993,218.289993,215.250000,218.229996,208.813721,277800
2019-09-19,218.839996,220.559998,218.369995,218.720001,209.282593,467400
2019-09-20,219.389999,219.440002,215.550003,216.399994,207.062653,364000
2019-09-23,216.250000,217.529999,215.699997,216.880005,207.521973,296200
2019-09-24,218.139999,219.000000,213.630005,214.429993,205.177673,543100
2019-09-25,214.210007,217.619995,212.229996,216.990005,207.627243,351000
2019-09-26,216.169998,217.039993,214.800003,216.360001,207.823166,262100
2019-09-27,216.600006,216.679993,211.610001,213.220001,204.807083,518600
2019-09-30,214.050003,216.000000,213.699997,215.550003,207.045135,356900
2019-10-01,216.509995,217.910004,213.389999,213.610001,205.181671,522300
2019-10-02,212.179993,212.300003,208.009995,209.610001,201.339508,601600
2019-10-03,209.520004,212.339996,206.919998,212.320007,203.942596,504500
2019-10-04,213.639999,216.119995,213.630005,215.910004,207.390930,397900
2019-10-07,215.169998,216.899994,214.979996,215.229996,206.737747,347200
2019-10-08,213.720001,214.020004,210.940002,211.050003,202.722656,481300
2019-10-09,213.160004,214.839996,212.850006,214.059998,205.613937,362300
2019-10-10,213.960007,216.270004,213.940002,215.350006,206.853058,326800
2019-10-11,217.880005,220.429993,217.880005,218.500000,209.878738,782700
2019-10-14,218.270004,219.259995,218.250000,218.490005,209.869125,283200
2019-10-15,219.119995,221.309998,218.940002,220.759995,212.049515,384900
2019-10-16,219.440002,219.440002,217.979996,218.830002,210.195709,352200
2019-10-17,219.770004,220.160004,217.479996,218.619995,209.994034,326700
2019-10-18,218.190002,218.449997,214.809998,216.309998,207.775146,317700
2019-10-21,217.539993,218.639999,216.889999,218.479996,209.859512,240400
2019-10-22,218.979996,219.669998,215.449997,215.520004,207.016327,353300
2019-10-23,215.000000,216.029999,214.500000,215.740005,207.227676,246700
2019-10-24,218.000000,219.179993,217.360001,219.039993,210.397430,255700
2019-10-25,219.000000,221.809998,219.000000,221.679993,212.933212,274400
2019-10-28,223.220001,224.479996,223.130005,224.220001,215.373032,862500
2019-10-29,224.169998,224.490005,222.399994,222.399994,213.624817,295800
2019-10-30,223.039993,224.100006,221.699997,223.899994,215.065659,348300
2019-10-31,224.380005,224.410004,222.289993,223.639999,214.815903,343200
2019-11-01,224.580002,226.550003,224.130005,226.550003,217.611099,569000
2019-11-04,228.350006,228.449997,227.229996,227.580002,218.600479,370600
2019-11-05,228.229996,228.229996,226.600006,227.360001,218.389130,476800
2019-11-06,227.369995,227.369995,226.029999,227.130005,218.168243,353800
2019-11-07,228.759995,230.229996,228.369995,228.970001,219.935623,442700
2019-11-08,228.270004,230.199997,227.460007,230.199997,221.117096,340800
2019-11-11,228.889999,230.729996,228.610001,230.490005,221.395676,323200
2019-11-12,230.690002,232.000000,230.179993,231.220001,222.096832,386700
2019-11-13,230.229996,231.889999,230.220001,231.740005,222.596359,298200
2019-11-14,230.910004,231.559998,230.300003,231.460007,222.327377,450700
2019-11-15,232.979996,233.399994,232.350006,233.389999,224.181183,320200
2019-11-18,233.279999,234.360001,232.399994,233.940002,224.709549,342000
2019-11-19,234.809998,235.339996,233.660004,234.710007,225.449173,599100
2019-11-20,234.070007,234.949997,231.649994,233.479996,224.267700,809600
2019-11-21,233.270004,233.279999,231.740005,232.210007,223.047775,363000
2019-11-22,232.990005,233.330002,231.190002,232.149994,222.990158,345400
2019-11-25,233.130005,235.600006,232.789993,235.559998,226.265610,2035000
2019-11-26,235.660004,236.320007,235.360001,235.690002,226.390472,461700
2019-11-27,236.490005,237.149994,235.850006,237.149994,227.792847,321500
2019-11-29,236.479996,236.869995,236.080002,236.149994,226.832275,189500
2019-12-02,236.419998,236.490005,231.729996,232.789993,223.604874,515600
2019-12-03,228.990005,231.009995,228.009995,230.940002,221.827866,578900
2019-12-04,232.320007,232.500000,231.410004,231.720001,222.577148,522700
2019-12-05,232.520004,232.759995,231.399994,232.360001,223.191864,354000
2019-12-06,234.199997,235.070007,233.990005,234.910004,225.641235,390100
2019-12-09,234.550003,235.149994,233.580002,233.699997,224.478989,305000
2019-12-10,233.949997,234.770004,233.210007,233.600006,224.382965,730300
2019-12-11,234.199997,235.250000,233.639999,235.139999,225.862183,342100
2019-12-12,234.639999,237.759995,233.880005,237.429993,228.061813,613900
2019-12-13,237.639999,239.500000,236.850006,238.970001,229.541061,540400
2019-12-16,240.009995,241.350006,240.000000,240.460007,231.603165,529300
2019-12-17,240.940002,240.990005,239.570007,240.000000,231.160141,497800
2019-12-18,240.369995,240.929993,239.889999,240.080002,231.237183,406000
2019-12-19,240.320007,241.699997,240.199997,241.660004,232.758972,524600
2019-12-20,243.110001,243.339996,242.470001,243.009995,234.059265,519500
2019-12-23,243.919998,244.320007,243.350006,243.830002,234.849045,430700
2019-12-24,244.100006,244.240005,243.270004,243.850006,234.868347,234600
2019-12-26,244.320007,245.729996,244.320007,245.729996,236.679062,301500
2019-12-27,246.710007,246.750000,244.929993,245.639999,236.592422,349500
