Ticker,trail_percent,long_spike,short_spike,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
NVDA,0.09,1.03,0.91,10000.0,13532.745976000002,1.268224123695156,1.736880879354957,0.1443938890196186,7.48711513231548,0.302527283215513,0.0624755924469301,0.3532745976000002,319.24200406,70.0,0.6857142857142857,1.0380492430071686
NVDA,0.04,1.03,0.93,10000.0,11992.922691535989,1.9909291385769785,0.4101570377289896,0.0795776988262348,4.398377872936948,0.1817316071025171,0.0370748496983725,0.1992922691535986,567.7414244639999,129.0,0.6511627906976745,0.9083844795185672
TSLA,0.04,1.03,0.97,10000.0,12270.768849628004,0.5544613892504581,0.2438252468653345,0.0500256772309005,4.8828582957638975,0.2046348246970379,0.0418438037429171,0.2270768849628004,846.3360203719997,205.0,0.5609756097560976,1.0802495550963636
AAPL,0.1,1.1,0.93,10000.0,10509.054316972,-0.0798974579846042,0.012331064999219,2.815934090184386,1.103516020007317,0.0496521084907676,0.0099958372722126,0.0509054316971998,15.723235028,4.0,1.0,0.0
ARM,0.05,1.03,0.96,10000.0,11261.150353731997,1.441509262558354,1.6198788007037277,0.4782306231124567,2.372158615375233,0.1187736873528706,0.1547673446117148,0.1261150353731996,111.017654184,28.0,0.7142857142857143,1.325915732093674
ARM,0.07,1.03,0.92,10000.0,10479.155405932,42.63257761014638,0.5003073923857967,0.1023572069925193,5.551429930074441,0.0468029916141953,0.0583420971941818,0.0479155405931998,80.24452006800001,20.0,0.65,0.8443964464281419
AMD,0.1,1.04,0.9,10000.0,11838.176523371994,1.050482878214063,1.1377857973080563,0.1933400943884561,4.489628449200041,0.1687445147507408,0.0343525848040936,0.1838176523371994,203.603680628,48.0,0.6458333333333334,1.0355917835548256
AMD,0.07,1.06,0.92,10000.0,11430.249887556003,1.3509408463107186,1.502537958552928,0.2694936365376923,2.7475367533730735,0.1336782470020411,0.0271180646229759,0.1430249887556005,184.600540444,45.0,0.6888888888888889,1.0393102044825728
CRM,0.08,1.04,0.93,10000.0,10927.774884618004,0.1888041724730391,1.2265302126753137,0.1812636245123343,4.6482625543511675,0.0887226097519671,0.0179172378895389,0.0927774884618003,97.885080382,26.0,0.6153846153846154,1.2096811589604264
DBX,0.09,1.04,0.92,10000.0,11028.625399764003,0.3994709990270035,2.750386322426693,0.3246742958399042,3.095557156502701,0.0979091087303817,0.01979066436476,0.1028625399764003,94.92402033399998,24.0,0.6666666666666666,1.0093205630665325
MSFT,0.07,1.03,0.95,10000.0,10497.982586422,-0.1003748011382646,0.4198129652280443,0.1193821855682712,3.7399481092516287,0.0485980110827339,0.0097825944713971,0.0497982586422,96.947460578,27.0,0.6666666666666666,0.8575752992832647
PANW,0.1,1.04,0.91,10000.0,11883.960877235995,0.6666506667663443,1.674256708415103,0.8173126607422256,1.90244515017677,0.1726045725473789,0.0351520600224404,0.1883960877235995,120.089206764,29.0,0.7586206896551724,1.093715074363183
PANW,0.1,1.04,0.9,10000.0,11601.687438197998,0.6748075051176303,1.499919588251155,0.7101321132582202,1.976608776759052,0.1485654633488841,0.0301832440060037,0.1601687438197997,116.015966802,29.0,0.7241379310344828,1.0681007821121828
SMCI,0.1,1.03,0.93,10000.0,14134.53414077001,0.948963788088425,1.0854844295829948,0.1861390294012109,6.284350326866067,0.3460359397569541,0.0717171314555929,0.4134534140770011,322.66672022999984,73.0,0.6438356164383562,1.1923259791670298
SMCI,0.1,1.03,0.92,10000.0,13336.276333816,1.1107543654691532,0.8602716997473236,0.1502939322472539,6.635757309395378,0.287902773131794,0.0593190433732244,0.3336276333816,304.67442018399987,71.0,0.6338028169014085,1.1080697640646957
