trail_percent,long_spike,short_spike,Starting Value,Ending Value,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Total Return,Annualized Return,Cumulative Return,Total Commission Costs,Total Trades,Win Rate,Average Trade Payoff Ratio
0.01,1.03,0.9,10000,9798.938429268004,-2.0023261767076033,-0.17328803452381128,-0.027380240111506447,2.7493933079597714,-0.020311036729019523,-0.004057181191685811,-0.020106157073199574,267.29447673199996,69,0.4057971014492754,1.135042008388357
0.01,1.03,0.91,10000,9798.938429268004,-2.0023261767076033,-0.17328803452381128,-0.027380240111506447,2.7493933079597714,-0.020311036729019523,-0.004057181191685811,-0.020106157073199574,267.29447673199996,69,0.4057971014492754,1.135042008388357
0.01,1.03,0.92,10000,9834.876653159992,-2.1163733824588014,-0.14013767520864248,-0.01968789819554076,3.0610319959439494,-0.016650182852413153,-0.003327134336750721,-0.01651233468400078,276.3614068400001,71,0.4084507042253521,1.1910171083420031
0.01,1.03,0.93,10000,9718.446088042001,-1.6591304558569628,-0.17096701007854545,-0.02640542635396613,3.787341969353593,-0.028559354787257376,-0.005700100218396217,-0.028155391195799892,280.4600189580001,73,0.410958904109589,1.0467532131945978
0.01,1.03,0.94,10000,9656.63075313601,-1.5292618420629547,-0.19578001775278736,-0.025980571523520235,4.403505448617307,-0.034940288927921344,-0.0069692099007061135,-0.03433692468639892,299.04650086400017,78,0.3974358974358974,1.0765832890708078
0.01,1.03,0.95,10000,9755.714337762001,-1.916380452598443,-0.13033967580474318,-0.015353199778504007,4.819126827604714,-0.024731893741260655,-0.004938074984624724,-0.024428566223799863,334.344007238,86,0.4186046511627907,1.1218975145486874
0.01,1.03,0.96,10000,9641.73616595201,-1.789746695762739,-0.1709740299549616,-0.01700452092684617,5.662949344322724,-0.03648390038519519,-0.0072759767521447406,-0.03582638340479898,376.7232500480001,97,0.44329896907216493,0.9532999080797238
0.01,1.03,0.97,10000,9360.137824410023,-1.3269934954095026,-0.24603011100452038,-0.016958208434950647,8.102651218995241,-0.06612507778282359,-0.01314831559901537,-0.06398621755899767,474.31099058999996,123,0.43089430894308944,0.8906792048422052
0.01,1.04,0.9,10000,9878.451525649996,-2.6511254376404434,-0.22578227189718908,-0.02719787148391024,2.728952678064195,-0.012229321690490102,-0.0024448136053919676,-0.012154847435000374,163.49922135,42,0.40476190476190477,1.1191056133532409
0.01,1.04,0.91,10000,9878.451525649996,-2.6511254376404434,-0.22578227189718908,-0.02719787148391024,2.728952678064195,-0.012229321690490102,-0.0024448136053919676,-0.012154847435000374,163.49922135,42,0.40476190476190477,1.1191056133532409
0.01,1.04,0.92,10000,9915.05979554999,-3.2548552861157156,-0.15091379924830933,-0.016446047339395413,3.030007703372983,-0.008530300223528587,-0.0017059583321011127,-0.008494020445000933,172.07110144999996,44,0.4090909090909091,1.2187093415531511
0.01,1.04,0.93,10000,9793.541283437993,-1.833197479674706,-0.19279970322692017,-0.030517582750678878,3.7898700676080996,-0.020861977298633004,-0.0041670033622578624,-0.020645871656200687,178.254671562,46,0.41304347826086957,0.979870971186314
0.01,1.04,0.94,10000,9710.778682616005,-1.5522397834821127,-0.2403508564885824,-0.03058760267472925,4.611187814789691,-0.029348620021926237,-0.0058571657453604185,-0.02892213173839955,204.76729138400003,53,0.39622641509433965,0.9939381649712881
0.01,1.04,0.95,10000,9855.843641406,-1.5151982022614896,-0.10786083510551386,-0.013362402895461858,4.60618639360859,-0.01452055063411885,-0.002902197266405988,-0.014415635859400026,238.70742159400004,61,0.4262295081967213,1.1341570565665893
0.01,1.04,0.96,10000,9712.449007688003,-1.7412253981908126,-0.18234456710386696,-0.017683475555889186,5.7043443089034405,-0.029176627487755426,-0.005822940965120886,-0.02875509923119971,289.47799431200013,74,0.44594594594594594,0.9348716485485369
0.01,1.04,0.97,10000,9428.047738314,-1.46499426967829,-0.2706014583181516,-0.01788410504260158,8.243418871592798,-0.05889604447158863,-0.011719352007547998,-0.05719522616859995,396.50284268599995,102,0.43137254901960786,0.8629178807585868
0.01,1.05,0.9,10000,9916.272525185996,-3.151910345729431,-0.24713548089867485,-0.04162365602800357,1.9776000956451094,-0.008407995819779785,-0.0016815194857882725,-0.008372747481400438,101.257379814,26,0.4230769230769231,0.9941781613601411
0.01,1.05,0.91,10000,9916.272525185996,-3.151910345729431,-0.24713548089867485,-0.04162365602800357,1.9776000956451094,-0.008407995819779785,-0.0016815194857882725,-0.008372747481400438,101.257379814,26,0.4230769230769231,0.9941781613601411
0.01,1.05,0.92,10000,9950.921831073994,-4.398620670910086,-0.1373526653659278,-0.019745110283002448,2.293963720797544,-0.004919899775856386,-0.0009842767934328507,-0.004907816892600567,109.723229926,28,0.42857142857142855,1.1426054068041571
0.01,1.05,0.93,10000,9831.899607967996,-1.9298800930778663,-0.20429136617784066,-0.04203894172782831,3.426077767506397,-0.016952931526136396,-0.0033875287179920745,-0.016810039203200358,116.390500032,30,0.43333333333333335,0.8359946863809851
0.01,1.05,0.94,10000,9734.346191333996,-1.687208446251552,-0.27673223461013396,-0.04120621554160426,4.374781380206163,-0.02692461704837123,-0.005374704863419955,-0.026565380866600388,147.22393966599998,38,0.39473684210526316,0.9036246466160911
0.01,1.05,0.95,10000,9879.518802131995,-1.6737262385707974,-0.108892706962291,-0.015577212209928663,4.376080033622384,-0.012121286658011385,-0.0024232420706867324,-0.012048119786800452,180.27141986799998,46,0.43478260869565216,1.084818641835204
0.01,1.05,0.96,10000,9749.735441492001,-1.7588968830821892,-0.18156829223432616,-0.019917539417760383,5.337939419935455,-0.025344942558377694,-0.005060168706527533,-0.025026455850799902,238.870672508,61,0.45901639344262296,0.8792292542533571
0.01,1.05,0.97,10000,9442.336457216003,-1.4140049511121782,-0.287300359416769,-0.019855812433344132,8.104356784558115,-0.05738163740019116,-0.011419737005879706,-0.05576635427839974,353.6041027839999,91,0.43956043956043955,0.8047615176746378
0.01,1.06,0.9,10000,10024.724620718001,-4.076450232824632,0.10396100147355512,0.02790693879728084,1.2760984484866036,0.002469410566238144,0.0004943965682299352,0.002472462071800146,66.000150282,17,0.5294117647058824,1.0077092998477428
0.01,1.06,0.91,10000,10024.724620718001,-4.076450232824632,0.10396100147355512,0.02790693879728084,1.2760984484866036,0.002469410566238144,0.0004943965682299352,0.002472462071800146,66.000150282,17,0.5294117647058824,1.0077092998477428
0.01,1.06,0.92,10000,10061.631134601994,-3.5214435090413763,0.2436423696001451,0.050468802476787165,1.5895747393961348,0.006144199150678775,0.0012305724081237179,0.006163113460199383,74.353790398,19,0.5263157894736842,1.1543013505061526
0.01,1.06,0.93,10000,9939.767977508,-2.6155512362303077,-0.08892088027296978,-0.027231952080571286,2.7398551048913347,-0.006041414901016975,-0.001208511857296674,-0.00602320224920004,81.55200049200002,21,0.5238095238095238,0.7498977442891743
0.01,1.06,0.94,10000,9843.272836874008,-2.039452838019176,-0.19271346632063616,-0.03778007184545737,3.68917293871224,-0.01579683185741406,-0.003156882331733154,-0.015672716312599186,113.02716012600003,29,0.4482758620689655,0.8644688753344372
0.01,1.06,0.95,10000,9990.498038657992,-1.5847114834566614,-0.012522123963066073,-0.0023347102227260427,3.6642620316231422,-0.0009506478567201651,-0.0001902624854806239,-0.0009501961342008145,145.85705034199995,37,0.4864864864864865,1.039019320287084
0.01,1.06,0.96,10000,9860.62844702,-1.4295399271625842,-0.11371192705593167,-0.015042256694348107,4.642030064376857,-0.014035189390335111,-0.0028053251561163477,-0.013937155297999925,204.72753297999998,52,0.5,0.8387865141474353
0.01,1.06,0.97,10000,9545.688791678003,-1.1871934824969461,-0.24577632293136498,-0.019275638440590947,7.406415974516904,-0.046495475855443,-0.009263309998543433,-0.04543112083219967,324.69667332200004,83,0.4578313253012048,0.7997861137993767
0.01,1.07,0.9,10000,10055.716810622,-3.7377825162995597,0.2517392365072705,0.1021357022177739,0.9686489423986012,0.005556216662480911,0.0011127446135600649,0.0055716810621999685,54.298010378000015,14,0.5714285714285714,1.0532701565299523
0.01,1.07,0.91,10000,10055.716810622,-3.7377825162995597,0.2517392365072705,0.1021357022177739,0.9686489423986012,0.005556216662480911,0.0011127446135600649,0.0055716810621999685,54.298010378000015,14,0.5714285714285714,1.0532701565299523
0.01,1.07,0.92,10000,10093.911802501998,-2.813979280573303,0.39220293366429965,0.11364521267384176,1.2831284338072688,0.00934735726964392,0.0018727076707766536,0.009391180250199796,62.703170498000006,16,0.5625,1.2056439249917363
